firm,title,location,geo,daysAgo,effectiveDate,dateSource,datePosted,firstSeen,ats,url
Grimshaw,Senior Architect - Los Angeles,,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobscore,https://careers.jobscore.com/careers/grimshawarchitects/jobs/senior-architect-los-angeles-bMHZD2VHzk4iX5E2ZbDecs
Grimshaw,"Senior Architect, New York",,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobscore,https://careers.jobscore.com/careers/grimshawarchitects/jobs/senior-architect-new-york-dTdflo7mnkkQh-dtO0KUu-
Grimshaw,Join the Grimshaw Architects Talent Network,,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobscore,https://careers.jobscore.com/apply_flow/applications/go?acc_id=dISY08Zi8r6kLHdNDWqL8o
Grimshaw,Return to Grimshaw Architects,,unknown,0,2026-06-30,firstSeen,,2026-06-30,jobscore,https://careers.jobscore.com/careers/grimshawarchitects
Handel Architects,Architectural Designer,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/54
Handel Architects,Interior Designer,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/38
Handel Architects,Designer,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/53
Handel Architects,Project Architect/Designer,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/52
CetraRuddy Architecture,A3 | Architectural Staff,"New York, New York",us,0,2026-06-30,firstSeen,,2026-06-30,bamboohr,https://cetraruddy.bamboohr.com/careers/37
CetraRuddy Architecture,A5 | Project Architect,"New York, New York",us,0,2026-06-30,firstSeen,,2026-06-30,bamboohr,https://cetraruddy.bamboohr.com/careers/53
CetraRuddy Architecture,A5 | Architecture Project Manager,"New York, New York",us,0,2026-06-30,firstSeen,,2026-06-30,bamboohr,https://cetraruddy.bamboohr.com/careers/54
CetraRuddy Architecture,I3 | Interior Designer,"New York, New York",us,0,2026-06-30,firstSeen,,2026-06-30,bamboohr,https://cetraruddy.bamboohr.com/careers/56
CetraRuddy Architecture,I4 | Interior Designer,"New York, New York",us,0,2026-06-30,firstSeen,,2026-06-30,bamboohr,https://cetraruddy.bamboohr.com/careers/57
Studios Architecture,"STUDIOS Architecture, Selldorf Architects and BASE Paysage selected for Louvre-Nouvelle Renaissance Project",,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://studios.com/careers/design/studios-architecture-selldorf-architects-and-base-paysagiste-selected-for-louvre-nouvelle-renaissance-project.html
Studios Architecture,Brian Pilot discusses the architectural design of The Zoe and its colorful glazed brick. Press,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://studios.com/careers/design/brian-pilot-discusses-the-architectural-design-of-the-zoe.html
Studios Architecture,"STUDIOS Architecture, Selldorf Architects and BASE Paysage selected for Louvre-Nouvelle Renaissance Project",,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://studios.com/careers/whats-new/studios-architecture-selldorf-architects-and-base-paysagiste-selected-for-louvre-nouvelle-renaissance-project.html
Studios Architecture,Brian Pilot discusses the architectural design of The Zoe and its colorful glazed brick. Press,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://studios.com/careers/whats-new/brian-pilot-discusses-the-architectural-design-of-the-zoe.html
Studios Architecture,"STUDIOS Architecture, Selldorf Architects and BASE Paysage selected for Louvre-Nouvelle Renaissance Project",,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://studios.com/careers/studios-architecture-selldorf-architects-and-base-paysagiste-selected-for-louvre-nouvelle-renaissance-project.html
Studios Architecture,Brian Pilot discusses the architectural design of The Zoe and its colorful glazed brick. Press,,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://studios.com/careers/brian-pilot-discusses-the-architectural-design-of-the-zoe.html
Studios Architecture,"STUDIOS Architecture, Selldorf Architects and BASE Paysage selected for Louvre-Nouvelle Renaissance Project",,unknown,0,2026-06-30,firstSeen,,2026-06-30,custom,https://studios.com/careers/team/studios-architecture-selldorf-architects-and-base-paysagiste-selected-for-louvre-nouvelle-renaissance-project.html
